dam_name,restricted,year_completed,normal_storage,county,stream,downstream_town,town_distance,last_inspection_date,details,latitude,longitude
Trujillo Meadows,FALSE,1956,913,Conejos,Los Pinos River,Antonito,36,06/24/2019,https://dwr.state.co.us/Tools/DamSafety/Details/220103,37.048268,-106.447553
Long Hollow,FALSE,2014,5309,La Plata,Long Hollow,,,04/19/2019,https://dwr.state.co.us/Tools/DamSafety/Details/330107,37.058153,-108.175138
Sanchez,TRUE,1911,103114,Costilla,Ventero Creek,San Luis,7,06/18/2019,https://dwr.state.co.us/Tools/DamSafety/Details/240106,37.113873,-105.410642
Trinidad,FALSE,1976,119877,Las Animas,Purgatoire River,Trinidad,1,08/21/2012,https://dwr.state.co.us/Tools/DamSafety/Details/190122,37.143336,-104.555573
Fisher Peak Det. Fpc-1,FALSE,1961,274,Las Animas,Purgatoire River,Trinidad,1,06/07/2019,https://dwr.state.co.us/Tools/DamSafety/Details/190104,37.154387,-104.49706
Fisher Peak Det. Fpc-2,FALSE,1961,94,Las Animas,Purgatoire River,Trinidad,0,06/07/2019,https://dwr.state.co.us/Tools/DamSafety/Details/190105,37.158453,-104.509928
Red Mesa Ward,FALSE,1915,1176,La Plata,Hay Gulch,"Farmington, Nm",32,06/19/2019,https://dwr.state.co.us/Tools/DamSafety/Details/330105,37.166679,-108.14223
Pinon Canyon Detention,FALSE,1954,406,Las Animas,Pinon Canyon Arroyo,Trinidad,2,06/07/2019,https://dwr.state.co.us/Tools/DamSafety/Details/190125,37.186137,-104.52141
Monument Lake,FALSE,1935,1511,Las Animas,Cherry Creek,Monument Park,0,09/21/2018,https://dwr.state.co.us/Tools/DamSafety/Details/190115,37.208339,-105.048898
Ridges Basin,FALSE,2006,121070,La Plata,Basin Creek,,,,https://dwr.state.co.us/Tools/DamSafety/Details/300151,37.219407,-107.895413
North Lake,FALSE,1963,4214,Las Animas,Coal Creek,Vigil,6,09/19/2019,https://dwr.state.co.us/Tools/DamSafety/Details/190116,37.24001,-105.038896
Johnson,FALSE,1982,1023,La Plata,Coal Gulch,Durango,6,07/31/2019,https://dwr.state.co.us/Tools/DamSafety/Details/300128,37.25626,-107.968204
Durango Terminal,FALSE,1954,232,La Plata,Goeglein Gulch,Durango,0,07/25/2019,https://dwr.state.co.us/Tools/DamSafety/Details/300102,37.290747,-107.847124
Stevens,FALSE,1948,1775,Archuleta,Dutton Creek,Pagosa Springs,0,08/13/2019,https://dwr.state.co.us/Tools/DamSafety/Details/780105,37.29944,-107.075579
Hatcher,FALSE,1965,1735,Archuleta,Martinez Creek,Pagosa Springs,0,06/20/2019,https://dwr.state.co.us/Tools/DamSafety/Details/780102,37.312775,-107.111398
Mountain View,FALSE,2000,1025,Archuleta,Hidden Valley,"Pagosa Springs, Co",5,10/08/2019,https://dwr.state.co.us/Tools/DamSafety/Details/290118,37.317885,-107.043159
Wommer #1,FALSE,1952,178,La Plata,Wommer Draw,Bayfield,9,07/17/2019,https://dwr.state.co.us/Tools/DamSafety/Details/310104,37.321957,-107.588976
Apishapa,TRUE,1892,209,Las Animas,Apishapa River,Aguilar,10,07/24/2019,https://dwr.state.co.us/Tools/DamSafety/Details/180206,37.335008,-104.770567
Platoro,FALSE,1951,59571,Conejos,Conejos River,Platoro,1,09/22/1998,https://dwr.state.co.us/Tools/DamSafety/Details/220102,37.350835,-106.545289
Terrace,FALSE,1912,15182,Conejos,Alamosa River,Capulin,12,06/25/2019,https://dwr.state.co.us/Tools/DamSafety/Details/210102,37.356809,-106.28565
Totten,TRUE,1965,3302,Montezuma,Simon Draw,Cortez,2,07/22/2019,https://dwr.state.co.us/Tools/DamSafety/Details/320107,37.360846,-108.534699
Turner,FALSE,1969,472,La Plata,Falls Creek,Durango,6,07/25/2019,https://dwr.state.co.us/Tools/DamSafety/Details/300113,37.36835,-107.866878
Bauer Lake #2 - Main Dam,FALSE,1905,1532,Montezuma,Chicken Creek,Mancos,3,09/19/2019,https://dwr.state.co.us/Tools/DamSafety/Details/340102,37.380101,-108.303015
Lemon,FALSE,1963,40100,La Plata,Florida River,Bondad,15,07/10/2002,https://dwr.state.co.us/Tools/DamSafety/Details/300111,37.382738,-107.627406
Vallecito,FALSE,1941,129700,La Plata,Pine River,Bayfield,13,01/01/2003,https://dwr.state.co.us/Tools/DamSafety/Details/310105,37.382786,-107.576127
Mountain Home,FALSE,1908,17964,Costilla,Trinchera Creek,"Arroya Hondo, Nm",93,03/15/2019,https://dwr.state.co.us/Tools/DamSafety/Details/350102,37.393408,-105.393962
Jackson Gulch,FALSE,1949,9980,Montezuma,Jackson Gulch,Mancos,5,01/01/2003,https://dwr.state.co.us/Tools/DamSafety/Details/340107,37.398337,-108.273901
Summit - South Dam,FALSE,1937,2234,Montezuma,East Fork Mud Creek,"Bluff, Ut",100,06/17/2019,https://dwr.state.co.us/Tools/DamSafety/Details/340205,37.405565,-108.38473
Summit - Main Dam,TRUE,1905,5954,Montezuma,Lost Canyon Creek,Dolores,9,07/17/2019,https://dwr.state.co.us/Tools/DamSafety/Details/340203,37.422529,-108.3879
Alberta Park,FALSE,1953,598,Mineral,Pass Creek,South Fork,17,09/26/2019,https://dwr.state.co.us/Tools/DamSafety/Details/200101,37.470288,-106.765578
Fuchs,FALSE,1930,237,Rio Grande,E. Fork Pinos Creek,Del Norte,16,08/09/2019,https://dwr.state.co.us/Tools/DamSafety/Details/200114,37.474352,-106.515792
Narraguinnep - Main Dam,FALSE,1908,18960,Montezuma,Narraguinnep Canyon,"Bluff, Ut",42,06/19/2019,https://dwr.state.co.us/Tools/DamSafety/Details/320108,37.483297,-108.626239
Narraguinnep - Dam 2,FALSE,1957,18960,Montezuma,Yellowjacket Canyon,"Bluff, Ut",35,06/18/2019,https://dwr.state.co.us/Tools/DamSafety/Details/320207,37.489473,-108.633107
Narraguinnep - Dam 3,FALSE,1957,18960,Montezuma,Yellowjacket Canyon,"Bluff, Ut",35,06/18/2019,https://dwr.state.co.us/Tools/DamSafety/Details/320208,37.494744,-108.631316
Williams Creek,FALSE,1958,10084,Hinsdale,Williams Creek,Piedra,26,09/18/2018,https://dwr.state.co.us/Tools/DamSafety/Details/780108,37.503339,-107.222792
Wahatoya Lake,FALSE,1901,330,Huerfano,Wahatoya Creek,La Veta,0,04/01/2019,https://dwr.state.co.us/Tools/DamSafety/Details/160326,37.508341,-104.997226
Haviland Lake,FALSE,1927,526,La Plata,Elbert Creek,Durango,22,08/23/2019,https://dwr.state.co.us/Tools/DamSafety/Details/300106,37.532659,-107.807388
Big Meadows - Main Dam,FALSE,1968,2436,Mineral,S Fork Rio Grande,South Fork,12,06/11/2019,https://dwr.state.co.us/Tools/DamSafety/Details/200103,37.539449,-106.800857
Big Meadows - North Dike,FALSE,1968,2436,Mineral,S. Fork Rio Grande,South Fork,12,06/11/2019,https://dwr.state.co.us/Tools/DamSafety/Details/200230,37.541162,-106.801373
Terminal,FALSE,1981,23385,La Plata,Elbert Creek,Rockwood,4,07/19/2019,https://dwr.state.co.us/Tools/DamSafety/Details/300105,37.545016,-107.804988
