state,id,status,notes
"Alabama",1,0,"potnotes"
"Alaska",2,2,"potnotes"
"Arizona",4,1,"potnotes"
"Arkansas",5,0,"potnotes"
"California",6,1,"potnotes"
"Colorado",8,2,"potnotes"
"Connecticut",9,1,"potnotes"
"Delaware",10,1,"potnotes"
"Florida",12,0,"potnotes"
"Georgia",13,0,"potnotes"
"Hawaii",15,1,"potnotes"
"Idaho",16,0,"potnotes"
"Illinois",17,1,"potnotes"
"Indiana",18,0,"potnotes"
"Iowa",19,0,"potnotes"
"Kansas",20,0,"potnotes"
"Kentucky",21,0,"potnotes"
"Louisiana",22,0,"potnotes"
"Maine",23,1,"potnotes"
"Maryland",24,1,"potnotes"
"Massachusetts",25,1,"potnotes"
"Michigan",26,1,"potnotes"
"Minnesota",27,1,"potnotes"
"Mississippi",28,0,"potnotes"
"Missouri",29,0,"potnotes"
"Montana",30,1,"potnotes"
"Nebraska",31,0,"potnotes"
"Nevada",32,1,"potnotes"
"New Hampshire",33,1,"potnotes"
"New Jersey",34,1,"potnotes"
"New Mexico",35,1,"potnotes"
"New York",36,1,"potnotes"
"North Carolina",37,0,"potnotes"
"North Dakota",38,0,"potnotes"
"Ohio",39,1,"potnotes"
"Oklahoma",40,0,"potnotes"
"Oregon",41,2,"potnotes"
"Pennsylvania",42,1,"potnotes"
"Rhode Island",44,1,"potnotes"
"South Carolina",45,0,"potnotes"
"South Dakota",46,0,"potnotes"
"Tennessee",47,0,"potnotes"
"Texas",48,0,"potnotes"
"Utah",49,0,"potnotes"
"Vermont",50,1,"potnotes"
"Virginia",51,0,"potnotes"
"Washington",53,2,"potnotes"
"District of Columbia",11,2,"potnotes"
"West Virginia",54,0,"potnotes"
"Wisconsin",55,0,"potnotes"
"Wyoming",56,0,"potnotes"
