precinct,precinctLeader,giellis,heffernan,simpson,scott,calderon,giavanni,hancock,fiorino,tate,evans
101,Michael B. Hancock,0.125,0.0149,0.006,,0.2143,,0.5327,,0.0744,0.0327
102,Michael B. Hancock,0.1647,0.0231,,,0.3006,,0.396,,0.0867,0.0289
103,Michael B. Hancock,0.1851,0.0241,,,0.2254,0.002,0.4467,,0.1006,0.0161
104,Michael B. Hancock,0.1313,0.0627,,,0.1403,0.003,0.5373,,0.1075,0.0179
105,Michael B. Hancock,0.2,0.0198,,,0.1861,,0.4792,,0.1109,0.004
106,Michael B. Hancock,0.1724,0.0345,,,0.2284,,0.4569,,0.0884,0.0194
107,Michael B. Hancock,0.25,0.025,,,0.1812,,0.3984,,0.1219,0.0234
108,Michael B. Hancock,0.2007,0.0266,,,0.2647,,0.3499,,0.1403,0.0178
109,Michael B. Hancock,0.194,0.0388,0.0043,,0.194,0.0043,0.4914,,0.0517,0.0216
110,Michael B. Hancock,0.2512,0.0332,,,0.188,,0.4265,,0.0916,0.0095
111,Michael B. Hancock,0.2936,0.0359,,,0.1501,,0.4062,,0.1044,0.0098
112,Michael B. Hancock,0.2785,0.0386,,,0.1463,0.0041,0.3943,,0.126,0.0122
113,Michael B. Hancock,0.2565,0.008,,,0.1924,0.004,0.4188,,0.1162,0.004
114,Michael B. Hancock,0.3133,0.0161,,,0.1325,,0.4297,,0.1024,0.006
115,Michael B. Hancock,0.1907,0,,,0.2331,,0.4407,,0.1271,0.0085
116,Michael B. Hancock,0.2683,0.0255,,,0.1851,,0.4092,,0.1002,0.0119
117,Michael B. Hancock,0.2438,0.0351,,,0.2025,,0.4029,,0.1074,0.0083
118,Michael B. Hancock,0.2087,0.056,,,0.2239,,0.4249,0.0025,0.0763,0.0076
119,Michael B. Hancock,0.1643,0.0576,,,0.1441,,0.5187,,0.1124,0.0029
120,Michael B. Hancock,0.2311,0.0156,,,0.1111,0.0044,0.4644,,0.1556,0.0178
121,Michael B. Hancock,0.2421,0.0335,0.0019,,0.1322,0.0019,0.4488,,0.1322,0.0074
122,Michael B. Hancock,0.3167,0.0207,,,0.117,,0.4251,,0.0981,0.0224
123,Michael B. Hancock,0.3584,0.0125,,,0.0751,,0.4069,,0.1455,0.0016
124,Michael B. Hancock,0.2579,0.0243,,,0.129,,0.4355,,0.1484,0.0049
125,Michael B. Hancock,0.2477,0.0304,,,0.1379,,0.4206,,0.1495,0.014
126,Michael B. Hancock,0.2605,0.0248,,,0.1365,0.005,0.4591,,0.0993,0.0149
127,Michael B. Hancock,0.2882,0.0267,,,0.1069,0.0019,0.4695,,0.0992,0.0076
128,Michael B. Hancock,0.2559,0.0088,,,0.0647,,0.5471,,0.1147,0.0088
129,Michael B. Hancock,0.3129,0.0181,,,0.1519,,0.4014,,0.102,0.0136
130,Michael B. Hancock,0.2627,0.0369,,,0.129,,0.4309,,0.1267,0.0138
131,Michael B. Hancock,0.2576,0.0284,,,0.1223,,0.4279,0.0022,0.1419,0.0197
132,Michael B. Hancock,0.3129,0.0169,,,0.0994,,0.4567,,0.1036,0.0106
201,Michael B. Hancock,0.2349,0.0261,,,0.2235,,0.3899,,0.1175,0.0082
202,Michael B. Hancock,0.2057,0.052,,,0.26,,0.3333,,0.1395,0.0095
203,Michael B. Hancock,0.2264,0.022,,,0.2132,,0.4022,,0.1341,0.0022
204,Lisa Calderón,0.1774,0.0643,,,0.3099,,0.3002,,0.1365,0.0117
205,Michael B. Hancock,0.1976,0.0613,,,0.2866,,0.3162,,0.1166,0.0217
206,Michael B. Hancock,0.2082,0.0683,,,0.273,,0.3072,,0.1348,0.0085
207,Michael B. Hancock,0.2567,0.0499,0.0018,,0.2246,,0.303,,0.1533,0.0107
208,Lisa Calderón,0.245,0.0585,,,0.3071,,0.2797,,0.0951,0.0146
209,Michael B. Hancock,0.2363,0.0265,,,0.2587,,0.3238,,0.1507,0.0041
210,Lisa Calderón,0.241,0.0525,,,0.2902,,0.2246,,0.1885,0.0033
211,Michael B. Hancock,0.2088,0.065,,,0.2807,,0.29,,0.1485,0.007
212,Michael B. Hancock,0.2485,0.032,,,0.2744,,0.2774,,0.1616,0.0061
213,Michael B. Hancock,0.2171,0.0693,,,0.224,,0.3395,,0.1432,0.0069
214,Michael B. Hancock,0.2689,0.0651,,,0.229,,0.3025,,0.1324,0.0021
215,Jamie Giellis,0.283,0.0474,,,0.2428,,0.2529,,0.171,0.0029
216,Lisa Calderón,0.2655,0.0354,,,0.2779,0.0018,0.2655,,0.1522,0.0018
