<strong>49ers</strong>
The Tavern Downtown, 1949 Market St, Denver
Burnt Barrel Colorado Spirits & Sports, 1201 16th St, Denver

<strong>Bears</strong>
Wyman's, 2033 E 13th Ave, Denver (3)
Govnr's Park Tavern, 672 Logan St, Denver

<strong>Bengals</strong>
Wash Park Sports Alley, 266 S Downing St, Denver

<strong>Bills</strong>
Lodo's Bar & Grill, 1946 Market St, Denver (2)
Esters Neighborhood Pub, 1950 S Holly St, Denver

<strong>Broncos</strong>
Burnt Barrel Colorado Spirits & Sports, 1201 16th St, Denver (3)
Recess Beer Garden, 2715 17th St, Denver
Stoney's Bar & Grill, 1111 Lincoln St, Denver
The Dam Grill, 8000 E Quincy Ave, Denver
Milo's Sports Tavern, 6495 E Evans Ave, Denver
Highland Tavern, 3400 Navajo St, Denver
Govnr's Park Tavern, 672 Logan St, Denver
Pub on Pearl, 1101 S Pearl St, Denver
Golden Flame Hot Wings, 18757 E Hampden Ave, Aurora
Chili's Grill & Bar, 790 S Colorado Blvd, Glendale
Waterton Tavern, 8361 N Rampart Range Rd, Littleton
BJ's Restaurant & Brewhouse, 1690 28th St, Boulder
Bubba's 33, 5807 Constitution Ave, Colorado Springs
Backyard Kitchen & Tap, 832 Garnet Ave, San Diego, CA
St. Andrews Bar & Grill, 7406 Aurora Ave N, Seattle, WA
Buffalo Wild Wings, 5121 W American Prairie Dr, Peoria, IL

<strong>Browns</strong>
Twin Peaks Restaurant, 8840 E Arapahoe Rd, Centennial

<strong>Buccaneers</strong>
Sports Column, 1930 Blake St, Denver
Rhino's Sports & Spirits, 4307 Integrity Center Point, Colorado Springs

<strong>Cardinals</strong>
Inga's Alpine Tavern, 5151 Leetsdale Dr, Denver
Buffalo Wild Wings, 10500 E Garden Dr, Aurora
Quaker Steak & Lube, 10392 Reed St, Westminster

<strong>Chiefs</strong>
Don's Club Tavern, 723 E 6th Ave, Denver (2)

<strong>Cowboys</strong>
Burnt Barrel Colorado Spirits & Sports, 1201 16th St, Denver (2)
Jackson's Sports Bar, 1520 20th St, Denver

<strong>Eagles</strong>
Asbury Provisions, 2043 S University Blvd, Denver
Larimer Beer Hall, 2012 Larimer St, Denver

<strong>Giants</strong>
Tavern Platt Park, 1475 S Pearl St, Denver
Occidental, 1950 W 32nd Ave, Denver
Yard House, 14500 W Colfax Ave, Lakewood

<strong>Lions</strong>
Candlelight Tavern, 383 S Pearl St, Denver (5)

<strong>Packers</strong>
Swanky's, 1938 Blake St, Denver (2)
Badgers Pub, 76 S Broadway, Denver (2)
Blake Street Tavern, 2301 Blake St, Denver
Roo Bar, 3480 Park Ave W, Denver
Tony's, 326 N Tejon St, Colorado Springs (2)

<strong>Panthers</strong>
Shelby's Bar & Grill, 519 18th St, Denver

<strong>Patriots</strong>
Three Dogs Tavern, 3390 W 32nd Ave, Denver (3)
The Elm, 5001 E Colfax Ave, Denver (2)
The Pour House Pub, 1435 Market St, Denver

<strong>Raiders</strong>
Burnt Barrel Colorado Spirits & Sports, 1201 16th St, Denver

<strong>Ravens</strong>
Chopper's Sports Grill, 80 S Madison St, Denver

<strong>Redskins</strong>
The Tavern Downtown, 1949 Market St, Denver
Blake Street Tavern, 2301 Blake St, Denver
Lodo's Bar & Grill, 8545 S Quebec St, Highlands Ranch

<strong>Saints</strong>
Sam's No. 3, 1500 Curtis St, Denver
Stoney's Bar & Grill, 1111 Lincoln St, Denver

<strong>Seahawks</strong>
Rhein Haus Denver, 1415 Market St, Denver (5)

<strong>Steelers</strong>
Jackson's Sports Bar, 1520 20th St, Denver (2)
The Rusty Bucket, 3355 S Wadsworth Blvd, Lakewood

<strong>Texans</strong>
Society Sports and Spirits, 1434 Blake St, Denver

<strong>Titans</strong>
Gibby's Big Backyard, 1555 S Havana St, Aurora

<strong>Vikings</strong>
The Dam Grill, 8000 E Quincy Ave, Denver (18)
Cap City Tavern, 1247 Bannock St, Denver (6)
Brother's Bar & Grill, 1920 Market St, Denver
