PARCELID,zonecode
M240100000800,SR
M240130000801,SR
M240130005903,SR
M240130005902,I
M240130005901,I
M240130007900,SR
M240130010300,SR
M240130010200,SR
M240130010100,SR
M240130009900,SR
M240130010400,SR
M240130010500,SR
M240130009400,SR
M240130009500,SR
M240130009200,SR
M240130007700,SR
M240130005700,SR
M240130005000,SR
M240130010000,SR
M240130009800,SR
M240130009700,SR
M240130009600,SR
M240130003101,SR
M240130005500,SR
M240130004900,SR
M240130004800,SR
M240130004700,SR
M240130010600,SR
M240130010700,SR
M240130010800,SR
M240130009300,SR
M240130007600,SR
M240130007800,SR
M240130008100,SR
M240110013800,SR
M240110014000,SR
M240110013500,SR
M240110013600,SR
M240110013700,SR
M240110013701,SR
M240130000500,SR
M240140001602,SR
M240130000400,SR
M240110014100,SR
M240110014200,SR
M240110014300,SR
M240110014400,SR
M240140001400,SR
M240140001501,SR
M240140001500,SR
M240140001300,SR
M240130002400,SR
M240130001300,SR
M240130001100,SR
M240130001200,SR
M240140001701,SU
M240140001600,SR
M240140001601,SR
M240140001700,SR
M240130000201,SR
M240140000600,SR
M240140000900,SR
M240140000800,SR
M240140000700,SR
M240140002000,SR
M240140002100,SR
M240140002200,SR
M240140001300,SR
M240140001000,SR
M240140001100,SR
M240140001200,SR
M240110013200,AR
M240160013500,SR
M240150003500,SR
M240150003400,SR
M240270000100,SR
M240150003900,SR
M240150003800,SR
M240150003700,SR
M240150003600,SR
M240150004200,SR
M240170006000,SU
M240170002000,UR
M240170002100,UR
M240170002200,UR
M240170002300,UR
M240170002400,UR
M240170002500,SU
M240170002600,SU
M240170002700,SU
M240130000300,SR
M240130003700,SR
M240130003300,SR
M240130003400,SR
M240130005600,SR
M240130005800,SR
M240130005701,SR
M240130005300,SR
M240130005200,SR
M240130005100,SR
M240130006000,SR
M240130006100,SR
M240130004401,SR
M240130003000,SR
M240130003100,SR
M240130002500,SR
M240130002300,SR
M240130001400,SR
M240130001501,SR
M240130002100,SR
M240130002200,SR
M240130002100,SR
M240130001500,SR
M240130001600,SR
M240130001700,SR
M240130001000,SR
M240130000900,SR
M240130000600,SR
M240130000700,SR
M240130004500,SR
M240130004400,SR
M240130001800,SR
M240130001900,SR
M240130002000,SR
M240130000800,SR
M240130006300,SR
M240130006400,SR
M240130002600,SR
M240130002600,SR
M240130002700,SR
M240130002800,SR
M240130002900,SR
M240140001801,SU
M240320000200,I
M240320000902,I
M240150001900,SR
M240150002000,SR
M240150002101,SR
M240150002100,SR
M240150001000,SR
M240150001100,SR
M240150001200,SR
M240150002200,SR
M240150002300,SR
M240150002400,SR
M240150002500,SR
M240150002600,SR
M240150002700,SR
M240150001300,SR
M240150001400,SR
M240150001500,SR
