zipCode,medianSold2017,medianSold2018,medianPctChange
80237,306250,428500,0.3991836735
80230,522000,729402,0.3973218391
80223,295000,411000,0.393220339
80125,407450,540000,0.3253159897
80401,447500,579000,0.2938547486
80121,436000,545000,0.25
80236,305000,379000,0.2426229508
80111,545000,667300,0.2244036697
80214,324000,396000,0.2222222222
80247,192500,234750,0.2194805195
80216,243000,290000,0.1934156379
80010,245099,292500,0.1933953219
80224,360000,427500,0.1875
80212,462500,541000,0.1697297297
80222,372500,430000,0.1543624161
80124,526250,606250,0.1520190024
80130,419900,480000,0.1431293165
80219,276000,315000,0.1413043478
80122,385000,437000,0.1350649351
80210,600000,680000,0.1333333333
80002,322500,365250,0.1325581395
80129,415000,470000,0.1325301205
80030,270000,305500,0.1314814815
80027,524000,591000,0.1278625954
80204,418000,470000,0.1244019139
80221,302500,340000,0.1239669421
80205,418750,470000,0.1223880597
80031,325000,364750,0.1223076923
80601,323590,363000,0.1217899193
80218,330000,369500,0.1196969697
80022,322000,360000,0.1180124224
80231,246000,275000,0.1178861789
80249,300000,335000,0.1166666667
80239,270000,301110,0.1152222222
80209,621000,692500,0.115136876
80011,262000,292000,0.1145038168
80229,265000,295000,0.1132075472
80303,540000,600450,0.1119444444
80603,301400,335000,0.1114797611
80013,305000,339000,0.1114754098
80104,362750,403000,0.11095796
80207,419000,465000,0.1097852029
80110,322500,357000,0.1069767442
80234,334250,370000,0.1069558714
80202,479000,530000,0.1064718163
80602,398500,440075,0.1043287327
80126,468000,515000,0.1004273504
80014,245250,269500,0.09887869521
80233,298500,327500,0.09715242881
80109,420000,459950,0.09511904762
80005,400000,436500,0.09125
80241,339359,370000,0.09029081297
80123,349159,380000,0.08832938575
80015,359900,390000,0.08363434287
80112,365000,395500,0.08356164384
80003,337500,365000,0.08148148148
80033,370000,400000,0.08108108108
80020,365400,395000,0.08100711549
80017,256500,276700,0.07875243665
80004,380300,410000,0.07809623981
80215,416500,448250,0.0762304922
80127,399900,430000,0.0752688172
80016,479450,514900,0.07393888831
80007,525000,562450,0.07133333333
80134,435000,465000,0.06896551724
80220,427200,456500,0.06858614232
80021,345500,368000,0.06512301013
80203,306250,325500,0.06285714286
80120,401000,425000,0.05985037406
80135,567500,600000,0.05726872247
80232,339750,358500,0.05518763797
80012,232250,245000,0.0548977395
80113,421500,444250,0.05397390273
80228,403000,424500,0.05334987593
80138,458875,481229,0.04871479161
80018,369500,387000,0.04736129905
80260,243500,255000,0.04722792608
80128,350500,366000,0.04422253923
80226,360000,371250,0.03125
80211,525000,540000,0.02857142857
80238,540000,555000,0.02777777778
80465,402000,413000,0.02736318408
80403,527200,540000,0.02427921093
80108,557475,564750,0.01304991255
80227,315000,303750,-0.03571428571
80206,639500,615250,-0.0379202502
80640,340000,320000,-0.05882352941
80235,300000,260750,-0.1308333333
