fullDate,time,fScale,injuries,fatalities,lengthMiles,widthYards,startLat,startLon,countyFIPS,countyName
1978-06-26,21:00:00.000000,1,0,0,22.9,67,37.47,-102.2,0,
1994-06-10,16:05:00.000000,1,0,0,1.5,200,39.77,-102.07,0,
2007-03-28,20:40:00.000000,1,0,0,11.62,440,38.46,-102.05,0,
1953-08-17,15:30:00.000000,1,0,0,5.7,100,39.8,-104.5,1,Adams
1954-04-25,13:00:00.000000,1,0,0,0.1,17,39.98,-104.82,1,Adams
1954-07-28,16:00:00.000000,1,0,0,0.1,10,39.82,-104.1,1,Adams
1955-07-02,21:00:00.000000,1,0,0,0.1,10,39.98,-104.53,1,Adams
1959-05-29,17:00:00.000000,2,0,0,2.0,33,39.88,-104.3,1,Adams
1967-05-30,16:00:00.000000,1,0,0,0.5,17,39.8,-104.97,1,Adams
1975-05-18,13:55:00.000000,3,0,0,4.1,440,39.8,-104.73,1,Adams
1976-05-30,13:40:00.000000,2,0,0,5.4,67,39.8,-104.88,1,Adams
1977-08-14,15:38:00.000000,1,0,0,1.0,60,39.78,-104.33,1,Adams
1977-08-14,15:45:00.000000,1,0,0,1.0,60,39.78,-104.33,1,Adams
1977-08-14,15:45:00.000000,1,1,0,1.0,60,39.78,-104.33,1,Adams
1978-05-17,14:20:00.000000,2,0,0,0.5,33,39.63,-104.75,1,Adams
1980-07-18,22:15:00.000000,1,0,0,2.0,30,39.98,-104.05,1,Adams
1981-06-02,19:40:00.000000,1,0,0,0.5,50,39.87,-104.78,1,Adams
1981-06-03,14:55:00.000000,2,42,0,2.3,133,39.87,-104.98,1,Adams
1982-05-29,15:24:00.000000,1,0,0,0.5,50,39.75,-104.6,1,Adams
1982-06-02,16:36:00.000000,1,0,0,1.0,100,39.83,-104.23,1,Adams
1982-06-02,16:45:00.000000,1,0,0,0.5,100,39.78,-104.25,1,Adams
1982-06-12,16:18:00.000000,3,0,0,3.0,400,39.82,-104.53,1,Adams
1982-06-12,16:22:00.000000,1,0,0,1.0,100,39.78,-104.5,1,Adams
1982-06-23,17:25:00.000000,1,0,0,1.0,150,39.8,-104.3,1,Adams
1982-07-09,13:10:00.000000,1,0,0,0.5,50,39.97,-104.63,1,Adams
1983-06-12,13:39:00.000000,1,0,0,0.3,20,39.88,-104.7,1,Adams
1984-05-14,14:23:00.000000,1,0,0,5.0,77,39.77,-104.62,1,Adams
1984-06-03,13:08:00.000000,1,0,0,2.0,100,39.73,-104.85,1,Adams
1984-07-06,14:44:00.000000,1,0,0,1.0,50,39.9,-104.57,1,Adams
1985-07-26,18:08:00.000000,1,0,0,0.5,30,39.9,-104.43,1,Adams
1986-06-08,17:15:00.000000,2,0,0,2.0,100,39.83,-104.6,1,Adams
1986-06-08,17:20:00.000000,1,0,0,2.0,100,39.83,-104.6,1,Adams
